0,1,2,3,4
1863,1865,"Dominican
Restoration War",Dominican Republic,Spain
1863,1864,January Uprising,Russian Empire,"Polish-Lithuanian-Ruthenian
Commonwealth"
1863,1865,Colorado War,United States,"Cheyenne
Arapaho"
1863,1866,"Second Taranaki War
Part of New Zealand
Wars",British Empire,Māori of Taranaki
1864,1864,"Kinmon Incident and
First Chōshū
expedition","Tokugawa Shogunate
Satsuma Domain","Aizu Domain
Choshu Domain
Sonno joi Rebels"
1864,1864,"Second Schleswig
War
Second Danish-
German War","German Confederation
Austrian Empire
Kingdom of Prussia",Denmark
1864,1864,"Battle of Dybbøl
Part of Second
Schleswig War",Prussia,Denmark
1864,1864,"Tauranga Campaign
Part of the New
Zealand Wars","Government of New
Zealand
British Settlers
Māori Kupapa",Ngāi Te Rangi Iwi
,,,,
1864,1865,Uruguayan War,"Empire of Brazil
Colorados",Uruguay
1864,1865,Mejba Revolt,Beylik of Tunis,Tax resisters
1864,1865,"Mito Rebellion
Kanto insurrection
Part of the Japanese
Civil War","Tokugawa Shogunate
Mito Domain","Sonno joi Rebels of Eastern
Japan"
1864,1865,Bhutan War,British Empire,Bhutan
1864,1865,,Russian Empire,"Khanate of Kokand
Emirate of Bukhara"
1864,1866,Chincha Islands War,"Peru
Chile
Joined in 1866:
Ecuador
Bolivia",Spain
1864,1868,Snake War,United States,"Shoshone, Bannock, and Paiute
Tribes"
1864,1868,"Pasoemah
Expedition",Dutch Empire,Sumatran Rebels
1864,1870,Paraguayan War,"Empire of Brazil
Argentina
Uruguay",Paraguay
1865,1865,"Peruvian civil war of
1865",Revolutionaries,Government of Peru
1865,1875,Saudi Civil War,Supporters of Saud,Supporters of Rahman
1865,1872,"Black Hawk War
(1865–72)",United States,"Ute
Paiute
Navajo
Apache"
1865,1865,"Powder River
Expedition (1865)",United States,"Arapaho
Sioux
Cheyenne"
1865,1865,Morant Bay rebellion,British Empire,Jamaican Rebels
1865,1870,Hualapai War,United States,Hualapai
1865,1866,Seqiti War,"Basuto Kingdom
British Empire",Orange Free State
1865,1868,"East Cape War
Part of the New
Zealand Wars","Government of New
Zealand
British Settlers
Māori Kupapa",Hau-Hauist Māori
1865,1868,"Russo-Bukharan
Wars",Russian Empire,Emirate of Bukhara
1865,1890,Haw wars,Kingdom of Siam,Haw rebels
,,,,
1866,1866,"Second Chōshū
expedition
Summer War",Choshu Domain,"Tokugawa Shogunate
Aizu Domain"
1866,1866,"Austro-Prussian War
Seven Weeks War
German Civil War","Kingdom of Prussia
Kingdom of Italy
Mecklenburg-Schwerin
Oldenburg
County of Anhalt
Duchy of Brunswick
Duchy of Saxe-
Altenburg
Saxe-Coburg and
Gotha
Principality of Waldeck-
Pyrmont
County of
Schwarzburg-
Sondershausen
Principality of Lippe
Bremen
Hamburg
Lübeck","Austrian Empire
Kingdom of Saxony
Kingdom of Bavaria
Grand Duchy of Baden
Kingdom of
Württemberg
Kingdom of Hanover
Grand Duchy of Hesse
Hesse-Kassel
Principality of Reuss
Elder Line
Duchy of Saxe-
Meiningen
County of Schaumburg-
Lippe
Nassau"
1866,1866,"Third Italian War of
Independence
Part of the Austro-
Prussian War",Kingdom of Italy,Austrian Empire
1866,1868,Red Cloud's War,Lakota Tribe,United States
1866,1866,Baikal Insurrection,Russian Empire,Sybiracy
1866,1869,"Cretan Revolt (1866–
69)",Greek rebels,Ottoman Empire
1866,1866,"French campaign
against Korea (1866)
Byeongin Western
invasion",Joseon dynasty (Korea),Second French Empire
1866,1867,"1867 Macedonian
rebellion",Ottoman Empire,Greek revolutionaries.
1867,1867,"Peruvian civil war of
1867",Revolutionaries (Conservatives),Government of Peru (Liberals)
1867,1867,La Genuina,,
1867,1868,"Blue revolution
(Venezuela)",,
1867,1867,"Andaman Islands
Expedition",British Empire,Onge rebels
1867,1875,"Comanche
Campaign",United States,"Comanche
Arapaho
Kiowa
Southern Cheyenne"
,,,,
1867,1868,Qatari–Bahraini War,Al Thani,Al Khalifa
1867,1874,"Klang War
Selangor Civil War","Forces of Raja Abdullah of Klang
British Straits
Settlements",Forces of Raja Mahadi
1868,1874,Six Years' War,Dominican Liberals,Dominican Conservatives
1868,1868,"Glorious Revolution
(Spain)",Spain (Liberals),Spain (Moderados)
1868,1868,Grito de Lares,Spain,Puerto Rican Rebels
1868,1869,"Tītokowaru's War
Part of the New
Zealand Wars","Government of New
Zealand
Māori Kupapa",Ngati Ruanui Iwi
1868,1869,"Boshin War
War of the Year of
the Dragon
Part of the Japanese
Civil War","Imperial Faction:
Forces of the Emperor
of Japan
Satsuma Domain
Choshu Domain
Tosa Domain
Hiroshima Domain
Saga Domain
British Empire","Tokugawa Shogunate
Northern Alliance
Republic of Ezo
Second French Empire"
1868,1868,"British Expedition to
Abyssinia",British Empire,Ethiopian Empire
1868,1872,"Te Kooti's War
Part of the New
Zealand Wars","Government of New
Zealand
British Settlers
Māori Kupapa",Māori iwi
1868,1878,"Ten Years' War
Great War",Spain,Cuba
1869,1869,"Haitian Revolution of
1869",Forces of Nissage Saget,Forces of Sylvain Salnave
1869,1869,"1869 uprising in
Krivošije",Serbian Rebels,Austria-Hungary
1869,1869,Red River Rebellion,"Dominion of Canada
Métis Loyalists
British Empire",Métis Forces of Louis Riel
Start,Finish,Name of conflict,Belligerents,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)"
1870,1870,Kirk–Holden war,United States,Ku Klux Klan
1870,1871,Al-Hasa Expedition[14][15],"Ottoman Empire
Kuwait",Nejd
1870,1870,Adai rebellion,Russian Empire,Kazakhs of Aday
1870,1871,Franco-Prussian War,"North German
Confederation
Kingdom of Bavaria
Baden
Kingdom of
Württemberg",Second French Empire
1870,1872,Revolution of the Lances,Blancos,Colorados
1870,1900,Sheep Wars,Cattle Ranchers,Sheepmen
1870,1890,Kalkadoon Wars,British colonists,Kalkadoon people
1871,1871,French Civil War of 1871,French Republic,Communards
1871,1871,"United States expedition to
Korea",United States,Joseon dynasty (Korea)
1871,1872,Nukapu Expedition,United Kingdom,Nukapu
1872,1873,Dembos War (1872–1873)[16],Portugal,rebels
1872,1872,"Yemeni Expedition of 1872
Part of the Yemeni–
Ottoman Conflicts",Ottoman Empire,Zaidis
1872,1876,Third Carlist War,"Kingdom of Spain
(Savoy) (to 1873)
First Spanish Republic
(to 1874)
Kingdom of Spain
(Bourbon) (from 1875)",Carlists
1872,1873,"Modoc War
Lava Beds War",United States,Modoc Tribes
1873,1873,Khivan campaign of 1873,Russian Empire,Khanate of Khiva
1873,1904,Aceh War,Dutch East Indies,Aceh Sultanate
1873,1874,Revolt of the Muckers,Empire of Brazil,Muckers
1873,1874,Pabna Peasant Uprisings,British Empire,Bengali Peasants
1873,1874,Third Anglo-Ashanti War,British Empire,Ashanti Empire
,,,,
1873,1888,Colfax County War,"Settlers
Jicarilla Apaches",Maxwell Land Grant
1873,1874,Cantonal Revolution,First Spanish Republic,Spanish Cantons
1874,1874,Brooks–Baxter War,Republican Party,Liberal Republican Party
1874,1874,Saga Rebellion,Empire of Japan,"Rebels of former Saga
Domain"
1874,1874,"Japanese invasion of Taiwan
(1874)",Empire of Japan,Qing Empire
1874,1875,Red River War,United States,"Comanche Tribes
Kiowa Tribes
Southern Cheyenne
Tribes
Arapaho Tribes"
1874,1876,Ethiopian–Egyptian War,Ethiopia,Egypt
1875,1875,Ganghwa Island incident,Empire of Japan,Joseon dynasty
1875,1875,Las Cuevas War,Texas Rangers,Mexican Militia
1875,1876,Perak War,British Empire,Malay rebels
1875,1876,Mason County War,"Vigilantes
German-American
settlers",Texas Rangers
1876,1876,Shinpuren Rebellion,Empire of Japan,"Keishintō
Samurai of former the
Kumamoto Domain"
1876,1876,Razlovtsi insurrection,Ottoman Empire,Bulgarian rebels
1876,1876,April Uprising,Ottoman Empire,Bulgarian rebels
1876,1876,Akizuki Rebellion,Empire of Japan,"Samurai of former the Akizuki
Domain"
1876,1876,Hagi Rebellion,Empire of Japan,Choshu Domain
1876,1877,Colombian Civil War of 1876,Colombian Liberals,Colombian Conservatives
1876,1877,"Great Sioux War of 1876
Black Hills War","United States
Shoshone Tribes
Crow Nation
Pawnee Tribes","Arapaho Tribes
Cheyenne Tribes
Lakota Tribes"
1876,1878,Qing reconquest of Xinjiang,Qing dynasty,Kashgaria
1876,1878,"Montenegrin–Ottoman War
(1876–78)
Part of the Great Eastern
Crisis",Montenegro,Ottoman Empire
1877,1890,Angoche Civil War[17],Followers of Farelay,"6 other claimants to the
throne of the Angoche"
,,,,Sultanate
1877,1877,Nez Perce War,United States,Nez Perce
1877,1877,Satsuma Rebellion,Empire of Japan,"Samurai of former the
Satsuma Domain, Kumamoto
Domain
Shi-gakkō"
1877,1878,San Elizario Salt War,United States,Mexican-Indians
1877,1879,Ninth Xhosa War,"British Empire
Mfengu Tribe",Xhosa Gcaleka Tribe
1877,1878,Russo-Turkish War (1877–78),"Russian Empire
Serbia
Romania
Montenegro
Bulgarian volunteers",Ottoman Empire
1877,1879,Cheyenne War,United States,Cheyenne
1877,1893,Kiriji War,"Ibadan
Iwo Kingdom
Igbajo
Offa Kingdom
Modakeke","Ijesha Kingdom
Ekiti Confederacy
Akoko Confederacy
Egba Kingdom
Ijebu Kingdom
Ila Kingdom
Ilorin Emirate
Ife Kingdom"
1878,1878,Bannock War,United States,"Bannock
Northern Shoshone"
1878,1878,"Austro-Hungarian campaign
in Bosnia and Herzegovina in
1878",Austria-Hungary,Bosnia Vilayet
1878,1878,Kanak Revolt,France,Kanaks
1878,1878,Lincoln County War,"Ranchers
Regulators","General Store Monopoly
John Kinney Gang
Jesse Evans Gang
Seven Rivers Warriors"
1878,1878,Kumanovo Uprising,Ottoman Empire,Serbian rebels
1878,1878,Epirus Revolt of 1878,Ottoman Empire,Greek rebels
1878,1878,"1878 Greek Macedonian
rebellion",Ottoman Empire,Greek rebels
1878,1879,Kresna–Razlog Uprising,Ottoman Empire,Bulgarian rebels
1878,1880,Second Anglo-Afghan War,British Empire,Afghanistan
1878,1885,Conquest of the Desert,Argentina,Araucans
1878,1888,Nauruan Civil War,King Aweida Loyalists,Anti-Aweida rebels
,,,"German Empire
(1888)",
1879,1880,Little War (Cuba),Kingdom of Spain,Cuba
1879,1879,Jementah Civil War,Johor Sultanate,Muar
1879,1879,Anglo-Zulu War,"British Empire
Colony of Natal",Zulu Kingdom
1879,1879,Second Sekhukhune War,British Empire,BaPedi Kingdom
1879,1883,War of the Pacific,Chile,"Peru
Bolivia"
1879,1879,Sheepeater Indian War,United States,Turakina
1879,1881,Victorio's War,"United States
Mexico",Apache
Start,Finish,Name of conflict,Belligerents,
,,,"Victorious party (if
applicable)",Defeated party (if applicable)
1880,1881,Basuto Gun War,Basotho Tribe,Cape Colony
1880,1881,Brsjak Revolt,Ottoman Empire,Christian rebels
1880,1881,"Kurdish revolt of
1880–1881[8]",Ottoman Empire,Kurdish rebels
1880,1881,First Boer War,South African Republic,British Empire
1881,1881,"Mapuche uprising of
1881",Chile,Mapuche rebels
1881,1881,"French occupation of
Tunisia",France,Tunisia
1881,1899,Mahdist War,"Egypt
British Empire
Italy
Belgium
Ethiopian Empire",Mahdist Sudan
1882,1882,Anglo-Egyptian War,"British Empire
Egypt",Egyptian rebels under Arabi Pasha
1882,1898,Mandingo Wars,French Third Republic,Wassoulou Empire
1882,1892,Pleasant Valley War,"Tewksbury Family
Arizona Rangers",Graham and Blevins Family
1883,1914,Ekumeku Movement,British Empire,Ekumeku Organization
1883,1883,Timok Rebellion,Kingdom of Serbia,People's Radical Party
1883,1885,"First Madagascar
expedition",French Third Republic,Merina Kingdom
1883,1886,Tonkin Campaign,French Third Republic,"Qing dynasty
Black Flag Army
Nguyen dynasty"
1884,1885,"Peruvian civil war of
1884–1885","Reds
Bolivia","Blues
Chile"
1884,1884,Chichibu Incident,Empire of Japan,Japanese peasants
1884,1885,Sino-French War,"France
Annam Protectorate","Qing dynasty of China
Remnants of the Nguyen dynasty of
Vietnam
Black Flag Army"
,,,,
1884,1885,Mandor Rebellion,Dutch Empire,Lanfang Republic
1885,1885,,Russian Empire,Tajik Rebels
1885,1885,North-West Rebellion,Canada,"Provisional Government of
Saskatchewan
Cree–Assiniboine"
1885,1885,Serbo-Bulgarian War,Bulgaria,Serbia
1885,1885,"Barrios' War of
Reunification","El Salvador
Mexico
Costa Rica
Nicaragua","Guatemala
Honduras"
1885,1885,"Third Anglo-Burmese
War",British Empire,Third Burmese Empire
1885,1885,Jambi Uprising,Dutch Empire,Sumatran Rebels
1886,1894,Samoan Civil War,Mata'afans,Tamasese
,,,,
1887,1889,Karonga War,"African Lakes Corporation
Ngonde","Swahili
Henga"
1887,1895,"Hawaiian rebellions
(1887–95)","Hawaiian League
Republic of Hawaii
United States","Kingdom of Hawaii
United States
Empire of Japan
United Kingdom
Redshirts
Hawaiian Patriotic League"
1888,1893,"1888–1893 Uprisings
of Hazaras",Emirate of Afghanistan,Hazaras
1888,1888,Sikkim Expedition,British Empire,Tibet
1888,1889,Abushiri Revolt,German Empire,"Rebels led by Abushiri ibn Salim al-
Harthi"
1889,1890,Ammiyya,Syrian Peasants,Syrian Sheikhs
1889,1893,Johnson County War,Homesteaders,Cattle Barons
Start,Finish,Name of conflict,Belligerents,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)"
"Late
19th
century","Late 19th
century","Qu'aiti–Kathiri conflict over
Mukalla[18]","Qu'aiti
Supported by:
British Empire",Kathiri
1890s,1890s,"1890s Hamawand
revolts[19]",Ottoman Empire,Hamawand rebels
1890,1890,Edi Expedition,Dutch Empire,Acehese Rebels
1890,1890,Revolution of the Park,Argentina,Civic Union
1890,1890,"First Franco-Dahomean
War","Kingdom of Porto-Novo
French Third
Republic",Kingdom of Dahomey
1890,1916,Castaic Range War,"William Willoby
Jenkins
Los Angeles
Rangers",William C. Chormicle
1895,1900,Colorado Range War,Cattle Barons,"Homesteader and
Rustlers"
1890,1891,Ghost Dance War,,Sioux tribes
1891,1891,Battle of Mulayda,Jabal Shammar,Najd
1891,1891,"Yemeni Rebellion of 1891
Part of the Yemeni–
Ottoman Conflicts",Ottoman Empire,Zaidis
1891,1891,Hunza-Nagar Campaign,British Raj,"Hunza
Nagar"
1891,1891,Anglo-Manipur War,British Raj,Kingdom of Manipur
1891,1891,Chilean Civil War of 1891,"Congressist Junta
Navy of Chile","Republic of Chile
Army of Chile"
1891,1892,Tomochic Rebellion,Mexico,Rebels
1891,1893,Garza Revolution,"Mexico
United States",Garzistas
1891,1894,Semantan War,British Empire,Malay rebels
1891,1907,Bafut Wars,German Empire,Fondom of Bafut
,,,,
1892,1892,Second Hazara Uprising,Emirate of Afghanistan,Hazaras
1892,1894,"Second Franco-
Dahomean War",France,Kingdom of Dahomey
1892,1894,Congo–Arab War,Congo Free State,"Zanzibari Arab Slave
traders"
1893,1893,Third Hazara Uprising,Emirate of Afghanistan,Hazaras
1893,1893,Battle of Al Wajbah,"Al Thani
Allied Tribes",Ottoman Empire
1893,1893,Franco-Siamese conflict,"France
French Indochina",Siam
1893,1908,Macedonian Struggle,"Hellenic Macedonian
Committee
Ethniki Etaireia (from
1894)
Internal
Macedonian
Revolutionary
Organization
Supreme
Macedonian-
Adrianople Committee
(from 1895 to 1905)
Bulgarian Secret
Revolutionary
Brotherhood (from
1899)
Boatmen of
Thessaloniki (from
1900 to 1903)
Serbian Chetnik
Organization (from
1903)",Ottoman Empire
1893,1893,"Conquest of the Bornu
Empire",Rabih az-Zubayr's Empire,Bornu Empire
1893,1894,First Melillan campaign,Spain,Morocco
1893,1894,First Matabele War,"British South Africa
Company
Tswana","Ndebele (Matabele)
kingdom"
1893,1894,Revolta da Armada,Brazil,Brazilian navy mutineers
1893,1895,Federalist Revolution,Brazil,"Federalist Rebels
National Party"
1894,1895,"Peruvian civil war of 1894–
1895",Rebels,Government of Peru
,,,,
1894,1894,Malaboch War,"South African
Republic",Bahananwa people
1894,1894,1894 Sasun rebellion,Ottoman Empire,Armenian rebels
1894,1894,Revolution of the 44,Salvadoran Rebels,"Salvadoran
Government"
1894,1894,"Donghak Peasant
Revolution","Joseon dynasty
Empire of Japan",Donghak army
1894,1895,First Sino-Japanese War,Empire of Japan,Qing Empire
1894,1895,"Second Madagascar
expedition",France,Merina Kingdom
1894,1897,Jandamarra Guerilla War,British Empire,Australian aborigines
1894,1900,Mat Salleh Rebellion,British Empire,Malay rebels
1895,1895,"Japanese invasion of
Taiwan (1895)",Empire of Japan,"Republic of Formosa
Various militia forces"
1895,1896,Dungan revolt (1895–96),China,Muslim rebels
1895,1896,"Zeitun Rebellion (1895–
96)",Armenian rebels,Ottoman Empire
1895,1897,Menalamba rebellion,France,Menalamba rebels
1895,1896,Fourth Anglo-Ashanti War,United Kingdom,Ashanti Empire
1895,1896,First Italo-Ethiopian War,Ethiopia,Kingdom of Italy
1895,1898,"Cuban War of
Independence","Cuban rebels
United States",Kingdom of Spain
1896,1897,"1896–1897 Greek
Macedonian rebellion",Ottoman Empire,Rebels
1896,1896,Defense of Van (1896),Ottoman Empire,Armenian rebels
1896,1896,"Khaua-Mbandjeru
Rebellion",German Empire,"Mbandjeru
Khaua Mbandjeru"
1896,1896,"Anglo-Zanzibar War
The shortest war in
history",British Empire,Zanzibar
1896,1897,War of Canudos,Brazil,Canudos inhabitants
1896,1897,Langeberg Rebellion,Cape Colony,Batlhaping rebels
1896,1897,Batetela Rebellion,Congo Free State,Tetela rebels
1896,1897,Second Matabele War,"British South Africa
Company","Ndebele (Matabele)
people
Shona (Mashona) people"
1896,1898,Philippine Revolution,"Katipunan
Sovereign Tagalog
Nation
First Philippine
Republic
United States",Kingdom of Spain
,,,,
1897,1897,"Greco-Turkish War (1897)
The Thirty Days' War",Ottoman Empire,Kingdom of Greece
1897,1897,Intentona de Yauco,Spain,Puerto Rican Rebels
1897,1897,Benin Expedition of 1897,British Empire,Kingdom of Benin
1897,1898,"The Great Frontier Revolt
Malakand Uprising
Waziristan Expedition
Tirah Campaign
Mohmand Revolt",United Kingdom,"Pashtun tribes of
Afghanistan"
1898,1898,1898 Baloch uprising,,
1898,1898,Andijan uprising of 1898,Russian Empire,Kokand Khanate Loyalists
1898,1898,Spanish–American War,"United States
Cuba
First Philippine
Republic
Katipunan",Kingdom of Spain
1898,1898,Negros Revolution,"Katipunan
Negrense
Revolutionaries",Kingdom of Spain
1898,1899,"Federal Revolution of
1899",Liberal Party,Conservative Party
1898,1899,Second Samoan Civil War,Samoa,Mata'afans
1898,1898,1898 Baloch uprising,British Empire,"Rebels under Mir Baloch
Khan and Mir Mehrab
Khan Nausherwani"
1898,1900,Voulet-Chanoine Mission,France,Rabih az-Zubayr's Empire
1899,1901,Rabih War,"France
Kingdom of Baguirmi",Rabih's empire
1899,1902,"(See Battle of Maroua–
Miskin)","German Empire
German Kamerun",Adamawa Emirate
1899,1901,Boxer Rebellion,"Eight-Nation Alliance
Empire of Japan
Russian Empire
British Empire
France
United States
German Empire
Kingdom of Italy
Austria-Hungary","Righteous Harmony
Society
China"
,,,"Netherlands
Belgium
Spain",
1899,1902,Second Boer War,"British Empire
Cape Colony
Natal Colony
British India
Australia
Canada
New Zealand","Orange Free State
South African
Republic
Foreign volunteers"
1899,1902,Thousand Days' War,"Colombian
Conservative Party","Colombian Liberal
Party"
1899,"1902
(Malvar
surrender)
1913
(Irreconcilables
active)",Philippine–American War,"United States
Philippine
Constabulary
Philippine Scouts","First Philippine
Republic
Katipunan
Pulajanes
Sultanate of Sulu
Moro people"
1899,1903,Acre War,"Brazil
Republic of Acre",Bolivia
