Start,Finish,Name of conflict,Belligerents,Unnamed: 4,Part of,War link,Wider conflict link,Wikipedia pageviews (2025 - 2026)
1861,1865,American Civil War,United States of America,"Confederate States of
America",,https://en.wikipedia.org/wiki/American_Civil_War,,6247339.0
1812,1815,War of 1812,"British Empire
United States
United States","British Empire
United States
United States",,https://en.wikipedia.org/wiki/War_of_1812,,2853149.0
1853,1856,Crimean War,"Ottoman Empire
French Empire
(from 1854)
Britain
(from 1854)
Kingdom of Sardinia
(from 1855)
Caucasian Imamate (until 1855)
Circassia
Abkhazian insurgents (from
1855)
Egypt Eyalet
Beylik of Tunis[11]","Russian Empire
Bulgarian volunteers
Principality of Mingrelia
(vassal)
Kurdish rebels[12]
Kingdom of Greece (until
1854)",,https://en.wikipedia.org/wiki/Crimean_War,,2187458.0
1899,1902,Second Boer War,"British Empire
Cape Colony
Natal Colony
British India
Australia
Canada
New Zealand","Orange Free State
South African
Republic
Foreign volunteers",,https://en.wikipedia.org/wiki/Second_Boer_War,,1989012.0
1846,1848,Mexican–American War,United States,Mexico,,https://en.wikipedia.org/wiki/Mexican%E2%80%93American_War,,1960266.0
1803,1815,Napoleonic Wars,"Coalition forces:
Austria[α][a][b]
Prussia[β]
Russia[γ][c]
United Kingdom
Baden
Bavaria[δ]
Brunswick[ε]
French royalists
Hanover[d]
Hungary[ζ][e]
Liechtenstein
Montenegro[η]
Nassau[ε]
Netherlands[ε]
Ottoman Empire[θ][f]
Papal States
Persia[θ][g]
Portugal[ι]","France and allies:
French Republic (until
1804)
French Empire (from 1804)
French clients:
Bonapartist Spain[i]
Confederation of the
Rhine[ξ][k][l]
Duchy of Warsaw[m]
Etruria[n]
Holland[o]
Italy
Lucca-Piombino
Naples[p]
Polish Legions[m]
Switzerland
Austria[a][q][ο]
Denmark–Norway[r][π]",,https://en.wikipedia.org/wiki/Napoleonic_Wars,,1954549.0
1898,1898,Spanish–American War,"United States
Cuba
First Philippine
Republic
Katipunan",Kingdom of Spain,,https://en.wikipedia.org/wiki/Spanish%E2%80%93American_War,,1773813.0
1857,1858,"Indian Rebellion of
1857
India's First War of
Independence","British Empire
British East India
Company
Nepal
Jammu and Kashmir
20 Princely states","Sepoys of the East India
Company
Mughal Empire
Awadh
Jhansi
Jagdishpur
Kohra
Bijairaghogarh
Tulsipur State
7 Princely states",,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,https://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,1745535.0
1899,1901,Boxer Rebellion,"Eight-Nation Alliance
Empire of Japan
Russian Empire
British Empire
France
United States
German Empire
Kingdom of Italy
Austria-Hungary","Righteous Harmony
Society
China",,https://en.wikipedia.org/wiki/Boxer_Rebellion,,1567198.0
1850,1864,Taiping Rebellion,"China
British Empire
French Empire",Taiping Heavenly Kingdom,,https://en.wikipedia.org/wiki/Taiping_Rebellion,,1443192.0
1870,1871,Franco-Prussian War,"North German
Confederation
Kingdom of Bavaria
Baden
Kingdom of
Württemberg",Second French Empire,,https://en.wikipedia.org/wiki/Franco-Prussian_War,,1340846.0
1857,1858,Utah War,United States,"State of Deseret
Utah Territory
Nauvoo Legion",,https://en.wikipedia.org/wiki/Utah_War,,1312270.0
1810,1810,Conquest of Hawaii,Kingdom of Hawaii,Other Hawaiian Tribes,,https://en.wikipedia.org/wiki/Kamehameha_I#Unification_of_Hawai%CA%BBi,,1309728.0
1899,"1902
(Malvar
surrender)
1913
(Irreconcilables
active)",Philippine–American War,"United States
Philippine
Constabulary
Philippine Scouts","First Philippine
Republic
Katipunan
Pulajanes
Sultanate of Sulu
Moro people",,https://en.wikipedia.org/wiki/Philippine%E2%80%93American_War,,995375.0
1802,1804,"Fourth quarter of the
Haitian Revolution",Haiti,France,,https://en.wikipedia.org/wiki/Haitian_Revolution,https://en.wikipedia.org/wiki/Haitian_Revolution,941954.0
1812,1812,"French invasion of
Russia
",Russian Empire,"France
Duchy of Warsaw
Italy
Naples
Confederation of the Rhine
Baden
Bavaria
Berg
Saxony
Westphalia
Spain
Swiss Confederation","Napoleonic
Wars",https://en.wikipedia.org/wiki/French_invasion_of_Russia,https://en.wikipedia.org/wiki/French_invasion_of_Russia,910792.0
1807,1814,"Peninsular War
","Portugal
United Kingdom
Spain",France,"Napoleonic
Wars",https://en.wikipedia.org/wiki/Peninsular_War,https://en.wikipedia.org/wiki/Napoleonic_Wars,871489.0
1871,1871,French Civil War of 1871,French Republic,Communards,,https://en.wikipedia.org/wiki/Paris_Commune,,791097.0
1839,1842,First Opium War,British Empire,Qing Empire of China,,https://en.wikipedia.org/wiki/First_Opium_War,,759300.0
1868,1869,"Boshin War
War of the Year of
the Dragon
","Imperial Faction:
Forces of the Emperor
of Japan
Satsuma Domain
Choshu Domain
Tosa Domain
Hiroshima Domain
Saga Domain
British Empire","Tokugawa Shogunate
Northern Alliance
Republic of Ezo
Second French Empire","Japanese
Civil War",https://en.wikipedia.org/wiki/Boshin_War,,758675.0
1894,1895,First Sino-Japanese War,Empire of Japan,Qing Empire,,https://en.wikipedia.org/wiki/First_Sino-Japanese_War,,744684.0
1821,1829,"Greek War of
Independence","Greek revolutionaries
Britain
United States of the
Ionian Islands","Ottoman Empire
Egypt Eyalet
Beylik of Tunis (naval
battles)",,https://en.wikipedia.org/wiki/Greek_War_of_Independence,https://en.wikipedia.org/wiki/Greek_War_of_Independence,716300.0
1810,1821,"Mexican War of
Independence
",Mexican Army,Spain,"Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Mexican_War_of_Independence,https://en.wikipedia.org/wiki/Mexican_War_of_Independence,713372.0
1854,1861,Bleeding Kansas,Free-Stater (Kansas),Border ruffians,,https://en.wikipedia.org/wiki/Bleeding_Kansas,,689498.0
1879,1879,Anglo-Zulu War,"British Empire
Colony of Natal",Zulu Kingdom,,https://en.wikipedia.org/wiki/Anglo-Zulu_War,,611756.0
1864,1870,Paraguayan War,"Empire of Brazil
Argentina
Uruguay",Paraguay,,https://en.wikipedia.org/wiki/Paraguayan_War,,611548.0
1892,1892,Second Hazara Uprising,Emirate of Afghanistan,Hazaras,,https://en.wikipedia.org/wiki/Hazaras#Second_uprising,,607945.0
1893,1893,Third Hazara Uprising,Emirate of Afghanistan,Hazaras,,https://en.wikipedia.org/wiki/Hazaras#Third_uprising,,607945.0
1810,1826,"Chilean War of
Independence
","Chile
United Provinces of the
Río de la Plata","Spain
Mapuche allies","Spanish
American wars of
independence",https://en.wikipedia.org/wiki/Chilean_War_of_Independence,https://en.wikipedia.org/wiki/Chilean_War_of_Independence,597593.0
1835,1836,Texas Revolution,Republic of Texas,Mexico,,https://en.wikipedia.org/wiki/Texas_Revolution,,583308.0
1866,1866,"Austro-Prussian War
Seven Weeks War
German Civil War","Kingdom of Prussia
Kingdom of Italy
Mecklenburg-Schwerin
Oldenburg
County of Anhalt
Duchy of Brunswick
Duchy of Saxe-
Altenburg
Saxe-Coburg and
Gotha
Principality of Waldeck-
Pyrmont
County of
Schwarzburg-
Sondershausen
Principality of Lippe
Bremen
Hamburg
Lübeck","Austrian Empire
Kingdom of Saxony
Kingdom of Bavaria
Grand Duchy of Baden
Kingdom of
Württemberg
Kingdom of Hanover
Grand Duchy of Hesse
Hesse-Kassel
Principality of Reuss
Elder Line
Duchy of Saxe-
Meiningen
County of Schaumburg-
Lippe
Nassau",,https://en.wikipedia.org/wiki/Austro-Prussian_War,,569331.0
1815,1815,"Hundred Days
War of the Seventh
Coalition","United Kingdom
Kingdom of Prussia
Kingdom of France
Kingdom of Hanover
German Confederation
Austrian Empire
Russian Empire
Sweden
Netherlands
Spain
Kingdom of Portugal
Kingdom of Sardinia
Kingdom of the Two
Sicilies
Grand Duchy of
Tuscany","First French Empire
Napoleonic Kingdom
of Naples",,https://en.wikipedia.org/wiki/Hundred_Days,,553485.0
1896,1896,"Anglo-Zanzibar War
The shortest war in
history",British Empire,Zanzibar,,https://en.wikipedia.org/wiki/Anglo-Zanzibar_War,,502454.0
1830,1830,"July Revolution
French Revolution of 1830",House of Orléans,House of Bourbon,,https://en.wikipedia.org/wiki/July_Revolution,,498250.0
1801,1805,Tripolitan War,"United States
Sweden (until 1802)
Sicily","Tripolitania
Morocco (1802)",,https://en.wikipedia.org/wiki/First_Barbary_War,,484282.0
1848,1848,French Revolution of 1848,French Republic,July Monarchy,,https://en.wikipedia.org/wiki/French_Revolution_of_1848,,472991.0
1861,1867,"French intervention
in Mexico
Also known as
Franco-Mexican War","United Mexican States
Supported by :
United States of America
(entered in 1865)","Second French Empire
Second Mexican Empire
Austrian Empire (German
and Hungarian volunteers)
Belgian Foreign Legion
Egyptian Sudanese
Supported by :
Kingdom of Spain (retired in
1862)
United Kingdom (retired in
1862)",,https://en.wikipedia.org/wiki/Second_French_intervention_in_Mexico,https://en.wikipedia.org/wiki/Second_French_intervention_in_Mexico,464923.0
1877,1877,Satsuma Rebellion,Empire of Japan,"Samurai of former the
Satsuma Domain, Kumamoto
Domain
Shi-gakkō",,https://en.wikipedia.org/wiki/Satsuma_Rebellion,,455987.0
1879,1883,War of the Pacific,Chile,"Peru
Bolivia",,https://en.wikipedia.org/wiki/War_of_the_Pacific,,403229.0
1856,1860,"Second Opium War
Arrow War","United Kingdom
French Empire
United States (1856 and
1859 only)",Qing Empire of China,,https://en.wikipedia.org/wiki/Second_Opium_War,,393536.0
1812,1814,"War of the Sixth
Coalition
","Original Coalition:
Russian Empire
Kingdom of Prussia
Austrian Empire
Sweden
United Kingdom of Great
Britain and Ireland
Spain
Kingdom of Portugal
Sicily
Kingdom of Sardinia
After Battle of Leipzig:
Kingdom of Saxony
Kingdom of Bavaria
Württemberg","France
Kingdom of Italy
(Napoleonic)
Duchy of Warsaw
Naples
Until January 1814
Denmark–Norway
Swiss Confederation
Confederation of the Rhine
(Many member states defected after
Battle of Leipzig)","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,https://en.wikipedia.org/wiki/War_of_the_Sixth_Coalition,386627.0
1859,1872,Pig War,United States,United Kingdom,,https://en.wikipedia.org/wiki/Pig_War_(1859),,375299.0
1881,1899,Mahdist War,"Egypt
British Empire
Italy
Belgium
Ethiopian Empire",Mahdist Sudan,,https://en.wikipedia.org/wiki/Mahdist_War,,370306.0
1832,1832,June Rebellion,France,French Republicans,,https://en.wikipedia.org/wiki/June_Rebellion,,368897.0
1803,1806,"War of the Third
Coalition
","French Empire and allies:
France
Batavian Republic
Italy
Etruria
Spain
Bavaria
Württemberg","Austrian Empire
Russian Empire
United Kingdom
Naples and Sicily
Sweden","Napoleonic
Wars",https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,https://en.wikipedia.org/wiki/War_of_the_Third_Coalition,359507.0
1880,1881,First Boer War,South African Republic,British Empire,,https://en.wikipedia.org/wiki/First_Boer_War,,349165.0
1856,1857,"1857 Cheyenne
Expedition",United States,Cheyenne,,https://en.wikipedia.org/wiki/Cheyenne#Punitive_US_expedition_of_1857,https://en.wikipedia.org/wiki/Cheyenne#Punitive_US_expedition_of_1857,340624.0
1896,1898,Philippine Revolution,"Katipunan
Sovereign Tagalog
Nation
First Philippine
Republic
United States",Kingdom of Spain,,https://en.wikipedia.org/wiki/Philippine_Revolution,,330477.0
1838,1842,First Anglo-Afghan War,Emirate of Afghanistan,"British Empire
British East India
Company",,https://en.wikipedia.org/wiki/First_Anglo-Afghan_War,,329910.0
1825,1825,Decembrist revolt,Russian Empire,Decembrists,,https://en.wikipedia.org/wiki/Decembrist_revolt,,325143.0
1878,1878,Lincoln County War,"Ranchers
Regulators","General Store Monopoly
John Kinney Gang
Jesse Evans Gang
Seven Rivers Warriors",,https://en.wikipedia.org/wiki/Lincoln_County_War,,310643.0
1864,1864,"Second Schleswig
War
Second Danish-
German War","German Confederation
Austrian Empire
Kingdom of Prussia",Denmark,,https://en.wikipedia.org/wiki/Second_Schleswig_War,https://en.wikipedia.org/wiki/Second_Schleswig_War,298170.0
1848,1849,"Hungarian War of
Independence","Austrian Empire
Russian Empire",Hungary,,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1848,https://en.wikipedia.org/wiki/Hungarian_Revolution_of_1848,294748.0
1895,1900,Colorado Range War,Cattle Barons,"Homesteader and
Rustlers",,https://en.wikipedia.org/wiki/Tom_Horn#Colorado_Range_War,,290040.0
1838,1838,Battle of Blood River,Voortrekkers,Zulu kingdom,,https://en.wikipedia.org/wiki/Battle_of_Blood_River,,285923.0
1862,1862,Dakota War of 1862,United States,Dakota Sioux,,https://en.wikipedia.org/wiki/Dakota_War_of_1862,,281617.0
1859,1859,"Second Italian War of
Independence","French Empire
Kingdom of Sardinia",Austrian Empire,,https://en.wikipedia.org/wiki/Second_Italian_War_of_Independence,https://en.wikipedia.org/wiki/Second_Italian_War_of_Independence,278755.0
1830,1831,Belgian Revolution,"Southern Provinces of the
Netherlands","United Kingdom of the
Netherlands",,https://en.wikipedia.org/wiki/Belgian_Revolution,,277289.0
1838,1838,Mormon War,Non-Mormon Missourians,"Latter Day Saint
movement",,https://en.wikipedia.org/wiki/1838_Mormon_War,,273541.0
